filename,artist,genre,description,phash,width,height,genre_count,subset
Post_Impressionism/a.y.-jackson_early-spring-quebec-1923.jpg,a.y. jackson,['Post Impressionism'],early-spring-quebec-1923,f23aa4049cc3ebec,1692,1381,1,train
Post_Impressionism/a.y.-jackson_entrance-to-halifax-harbour-1919.jpg,a.y. jackson,['Post Impressionism'],entrance-to-halifax-harbour-1919,af77c19aa5e49805,1752,1382,1,train
Post_Impressionism/a.y.-jackson_houses-st-urbain-1934.jpg,a.y. jackson,['Post Impressionism'],houses-st-urbain-1934,d636ac6d69d0d226,1702,1382,1,train
Post_Impressionism/a.y.-jackson_maple-woods-algoma-1920.jpg,a.y. jackson,['Post Impressionism'],maple-woods-algoma-1920,87ee38d819a8e3c5,1779,1382,1,train
Post_Impressionism/a.y.-jackson_march-storm-georgian-bay-1920.jpg,a.y. jackson,['Post Impressionism'],march-storm-georgian-bay-1920,dedb2a0184f1762b,1821,1382,1,train
Post_Impressionism/a.y.-jackson_river-st-urbain-1930.jpg,a.y. jackson,['Post Impressionism'],river-st-urbain-1930,8679c94769b6a685,1741,1382,1,train
Post_Impressionism/a.y.-jackson_the-edge-of-the-maple-wood-1910.jpg,a.y. jackson,['Post Impressionism'],the-edge-of-the-maple-wood-1910,b49ab65447cc36a3,1675,1382,1,train
Post_Impressionism/abraham-manievich_autumn.jpg,abraham manievich,['Post Impressionism'],autumn,83d6cab25d59d960,1471,1382,1,train
Post_Impressionism/abraham-manievich_beyond-the-trees.jpg,abraham manievich,['Post Impressionism'],beyond-the-trees,b9a1eab2baa36234,1738,1382,1,train
Post_Impressionism/abraham-manievich_bronx-river-park.jpg,abraham manievich,['Post Impressionism'],bronx-river-park,dfc54b6828d4cd61,1661,1382,1,train
Post_Impressionism/abraham-manievich_cloudy-day-bridgeport-connecticut-1939.jpg,abraham manievich,['Post Impressionism'],cloudy-day-bridgeport-connecticut-1939,c3c3f2b828096f9b,2006,1382,1,train
Post_Impressionism/abraham-manievich_country-landscape.jpg,abraham manievich,['Post Impressionism'],country-landscape,d392da965e1931d8,1974,1382,1,train
